,text,lemma,gender,number,animate,count
0,אאודי,אוד,Masc,Sing,False,56
1,אב,אב,Masc,Sing,True,22219
2,אבא,אבא,Masc,Sing,True,2009
3,אבהות,אבהות,Fem,Sing,False,325
4,אבוב,אבוב,Masc,Sing,False,485
5,אבוביים,אבוב,Masc,Plur,False,7
6,אבובים,אבוב,Masc,Plur,False,236
7,אבות,אב,Masc,Plur,True,7390
8,אבותי,אב,Masc,Plur,True,1402
9,אבותיי,אב,Masc,Plur,True,2
10,אבחון,אבחון,Masc,Sing,False,3960
11,אבחונ,אבחון,Masc,Sing,False,27
12,אבחוני,אבחון,Masc,Plur,False,4
13,אבחונים,אבחון,Masc,Plur,False,93
14,אבחנה,אבחנה,Fem,Sing,False,2545
15,אבחנת,אבחנה,Fem,Sing,False,234
16,אבטיח,אבטיח,Masc,Sing,False,206
17,אבטיחים,אבטיח,Masc,Plur,False,146
18,אבטלה,אבטלה,Fem,Sing,False,2161
19,אבטלת,אבטלה,Fem,Sing,False,11
20,אבי,אב,Masc,Sing,True,56237
21,אבי,אבן,Masc,Sing,False,15
22,אביון,אביון,Masc,Sing,True,36
23,אביונים,אביון,Masc,Plur,True,109
24,אבים,אב,Masc,Plur,True,27
25,אבים,אב,Masc,Sing,True,11
26,אביר,אביר,Masc,Sing,True,2778
27,אבירות,אבירות,Fem,Sing,False,1064
28,אבירי,אביר,Masc,Plur,True,1949
29,אבירי,אביר,Masc,Sing,True,7
30,אבך,אבך,Masc,Sing,False,2
31,אבכ,אבך,Masc,Sing,False,4
32,אבל,אבל,Masc,Sing,True,1159
33,אבלות,אבלות,Fem,Plur,False,46
34,אבלות,אבלות,Fem,Sing,False,595
35,אבלות,אבלות,Masc,Plur,False,4
36,אבלות,אבלות,Masc,Sing,False,10
37,אבלי,אבל,Masc,Plur,True,36
38,אבלי,אבל,Masc,Sing,True,13
39,אבלים,אבל,Masc,Plur,True,336
40,אבן,אבן,Fem,Sing,False,17599
41,אבן,אבן,Masc,Sing,False,276
42,אבני,אבן,Fem,Plur,False,4266
43,אבני,אבן,Masc,Plur,False,9
44,אבנים,אבן,Fem,Plur,False,5898
45,אבסטרקט,אבסטרקט,Masc,Sing,False,28
46,אבץ,אבץ,Masc,Sing,False,710
47,אבקה,אבקה,Fem,Sing,False,1467
48,אבקות,אבקה,Fem,Plur,False,223
49,אבקת,אבקה,Fem,Sing,False,972
50,אגדה,אגדה,Fem,Sing,False,5654
51,אגדות,אגדה,Fem,Plur,False,3967
52,אגדותי,אגדה,Masc,Plur,False,12
53,אגדת,אגדה,Fem,Sing,False,994
54,אגדתות,אגדה,Fem,Plur,False,3
55,אגדתי,אגדה,Masc,Sing,False,2
56,אגודים,אגוד,Masc,Plur,False,7
57,אגודל,אגודל,Masc,Sing,False,655
58,אגודלי,אגודל,Masc,Plur,False,9
59,אגודלים,אגודל,Masc,Plur,False,74
60,אגוז,אגוז,Masc,Sing,False,901
61,אגוזי,אגוז,Masc,Plur,False,338
62,אגוזי,אגוז,Masc,Sing,False,3
63,אגוזים,אגוז,Masc,Plur,False,1014
64,אגם,אגם,Masc,Sing,False,10815
65,אגמים,אגם,Masc,Plur,False,2838
66,אגס,אגס,Masc,Sing,False,366
67,אגסי,אגס,Masc,Plur,False,5
68,אגסים,אגס,Masc,Plur,False,123
69,אגף,אגף,Masc,Sing,False,11961
70,אגפ,אגף,Masc,Sing,False,212
71,אגפי,אגף,Masc,Plur,False,554
72,אגפיות,אגף,Fem,Plur,False,2
73,אגפים,אגף,Masc,Plur,False,1386
74,אגרוף,אגרוף,Masc,Sing,False,1402
75,אגרופ,אגרוף,Masc,Sing,False,45
76,אגרופי,אגרוף,Masc,Plur,False,22
77,אגרופי,אגרוף,Masc,Sing,False,35
78,אגרופים,אגרוף,Masc,Plur,False,228
79,אגרות,אגרה,Fem,Plur,False,958
80,אגרותי,אגרה,Fem,Plur,False,16
81,אגרותי,אגרה,Masc,Plur,False,46
82,אגרטל,אגרטל,Masc,Sing,False,178
83,אגרטלים,אגרטל,Masc,Plur,False,84
84,אגרסיביות,אגרסיביות,Fem,Sing,False,373
85,אגרת,אגרה,Fem,Sing,False,480
86,אדון,אדון,Masc,Sing,True,2476
87,אדונ,אדון,Masc,Sing,True,386
88,אדונו,אדון,Masc,Sing,True,22
89,אדונות,אדון,Fem,Plur,True,4
90,אדונות,אדון,Fem,Sing,True,7
91,אדוני,אדון,Masc,Plur,True,902
92,אדוני,אדון,Masc,Sing,True,62
93,אדונים,אדון,Masc,Plur,True,563
94,אדיקות,אדיקות,Fem,Sing,False,400
95,אדישות,אדישות,Fem,Sing,False,723
96,אדם,אדם,Masc,Plur,False,2
97,אדם,אדם,Masc,Sing,False,118774
98,אדמ,אדם,Masc,Sing,False,4
99,אדמת,אדמת,Masc,Sing,False,2
100,אדן,אדן,Masc,Sing,False,208
101,אדני,אדן,Masc,Plur,False,169
102,אדני,אדן,Masc,Sing,False,10
103,אדניות,אדן,Fem,Plur,False,20
104,אדנים,אדן,Masc,Plur,False,106
105,אדפטציה,אדפטציה,Fem,Sing,False,119
106,אדר,אדר,Masc,Sing,False,552
107,אדרים,אדר,Masc,Plur,False,4
108,אהיל,אהיל,Masc,Sing,False,2
109,אהילי,אהיל,Masc,Plur,False,4
110,אהילים,אהיל,Masc,Plur,False,13
111,אהל,אהל,Masc,Sing,False,251
112,אהלי,אהל,Masc,Plur,False,83
113,אהלי,אהל,Masc,Sing,False,2
114,אהלים,אהל,Masc,Plur,False,12
115,אוגד,אוגד,Masc,Sing,False,77
116,אוגדי,אוגד,Masc,Plur,False,2
117,אוגדים,אוגד,Masc,Plur,False,3
118,אוגרי,אוגר,Masc,Plur,True,66
119,אוגריים,אוגר,Masc,Plur,True,31
120,אוגרים,אוגר,Masc,Plur,True,263
121,אוד,אוד,Masc,Sing,False,144
122,אודי,אוד,Masc,Plur,False,110
123,אודי,אוד,Masc,Sing,False,526
124,אודן,אוד,Masc,Sing,False,2
125,אוז,אוז,Masc,Sing,True,245
126,אוטו,אוטו,Masc,Sing,False,229
127,אוכלים,אכל,Masc,Plur,False,11
128,אולם,אולם,Masc,Sing,False,12266
129,אולמ,אולם,Masc,Sing,False,112
130,אולמות,אולם,Masc,Plur,False,3018
131,אולמותי,אולם,Masc,Plur,False,13
132,אולמי,אולם,Masc,Plur,False,103
133,אולמים,אולם,Masc,Plur,False,6
134,אולר,אולר,Masc,Sing,False,98
135,אולרים,אולר,Masc,Plur,False,31
136,אומרים,אמר,Masc,Plur,False,2
137,און,און,Masc,Sing,False,328
138,אונ,און,Masc,Sing,False,203
139,אונים,און,Masc,Plur,False,822
140,אופנוע,אופנוע,Masc,Sing,False,1344
141,אופנועי,אופנוע,Masc,Plur,False,509
142,אופנועים,אופנוע,Masc,Plur,False,1244
143,אוצר,אוצר,Masc,Sing,False,11413
144,אוצרים,אוצר,Masc,Plur,False,400
145,אוקטגון,אוקטגון,Masc,Sing,False,7
146,אור,אור,Masc,Sing,False,48267
147,אורבניזציה,אורבניזציה,Fem,Sing,False,31
148,אורגן,אורגן,Masc,Sing,False,529
149,אורגנ,אורגן,Masc,Sing,False,4
150,אורגנו,אורגן,Masc,Plur,False,2
151,אורגנו,אורגן,Masc,Sing,False,51
152,אורגנות,אורגן,Fem,Plur,False,2
153,אורגנים,אורגן,Masc,Plur,False,47
154,אורגנת,אורגן,Fem,Sing,False,102
155,אורו,אור,Masc,Sing,False,189
156,אורוות,אור,Fem,Plur,False,431
157,אורוות,אור,Masc,Plur,False,26
158,אורות,אור,Fem,Plur,False,71
159,אורות,אור,Fem,Sing,False,35
160,אורות,אור,Masc,Plur,False,1653
161,אורות,אור,Masc,Sing,False,36
162,אורכידאה,אורכידאה,Masc,Sing,False,6
163,אורנמנט,אורנמנט,Masc,Sing,False,4
164,אות,אות,Fem,Sing,False,3016
165,אות,אות,Masc,Plur,False,3
166,אות,אות,Masc,Sing,False,14402
167,אותה,אות,Fem,Sing,False,2
168,אותות,אות,Fem,Plur,False,4
169,אותות,אות,Masc,Plur,False,4572
170,אותותי,אות,Fem,Plur,False,87
171,אותותי,אות,Masc,Plur,False,72
172,אותיות,אות,Fem,Plur,False,7771
173,אותיותי,אות,Fem,Plur,False,41
174,אותיותי,אות,Masc,Plur,False,5
175,אזהרה,אזהרה,Fem,Sing,False,1918
176,אזהרות,אזהרה,Fem,Plur,False,826
177,אזהרותי,אזהרה,Fem,Plur,False,53
178,אזהרותי,אזהרה,Masc,Plur,False,8
179,אזהרת,אזהרה,Fem,Sing,False,359
180,אזוב,אזוב,Masc,Sing,False,135
181,אזובי,אזוב,Masc,Plur,False,10
182,אזובים,אזוב,Masc,Plur,False,2
183,אזור,אזור,Masc,Sing,False,120776
184,אזורי,אזור,Masc,Plur,False,9952
185,אזורי,אזור,Masc,Sing,False,27
186,אזוריי,אזור,Masc,Plur,False,6
187,אזוריים,אזור,Masc,Plur,False,9
188,אזורים,אזור,Masc,Plur,False,26410
189,אזכור,אזכור,Masc,Sing,False,2938
190,אזכורי,אזכור,Masc,Plur,False,105
191,אזכורים,אזכור,Masc,Plur,False,2137
192,אזמל,אזמל,Masc,Sing,False,123
193,אזמלים,אזמל,Masc,Plur,False,31
194,אזרחיים,אזרחי,Masc,Plur,False,2
195,אזרחית,אזרחי,Fem,Sing,False,144
196,אח,אח,Fem,Sing,True,27
197,אח,אח,Masc,Sing,True,4638
198,אחו,אחו,Masc,Plur,False,13
199,אחו,אחו,Masc,Sing,False,86
200,אחוד,אחוד,Masc,Sing,False,19
201,אחוה,אחוה,Fem,Sing,False,37
202,אחוה,אחוה,Masc,Sing,False,5
203,אחווים,אח,Masc,Plur,True,4
204,אחוז,אחוז,Masc,Sing,False,8849
205,אחוזי,אחוז,Masc,Plur,False,1878
206,אחוזים,אחוז,Masc,Plur,False,5668
207,אחות,אח,Fem,Sing,True,17843
208,אחותי,אח,Fem,Sing,True,27
209,אחי,אח,Masc,Plur,True,120
210,אחי,אח,Masc,Sing,True,29613
211,אחיות,אח,Fem,Plur,True,5584
212,אחיותי,אח,Fem,Plur,True,664
213,אחיותי,אח,Masc,Plur,True,533
214,אחיזה,אחיזה,Fem,Sing,False,1643
215,אחיזת,אחיזה,Fem,Sing,False,1141
216,אחיזתם,אחיזה,Masc,Plur,False,2
217,אחיכ,אח,Masc,Sing,True,4
218,אחים,אח,Masc,Plur,True,14473
219,אחריות,אחריות,Fem,Sing,False,13355
220,אי,אי,Masc,Plur,False,2
221,אי,אי,Masc,Sing,False,45659
222,איבה,איבה,Fem,Sing,False,1990
223,איבר,איבר,Masc,Sing,False,5247
224,איברי,איבר,Masc,Plur,False,2138
225,איברי,איבר,Masc,Sing,False,14
226,איברים,איבר,Masc,Plur,False,5208
227,איבת,איבה,Fem,Sing,False,463
228,איגרוף,אגרוף,Masc,Sing,False,1410
229,אידיש,אידיש,Fem,Sing,False,2
230,אידיש,אידיש,Masc,Sing,False,2
231,איי,אי,Masc,Plur,False,2631
232,איי,אי,Masc,Sing,False,2
233,איים,אי,Fem,Plur,False,23
234,איים,אי,Masc,Plur,False,14776
235,איים,אי,Masc,Sing,False,195
236,אילה,אילה,Fem,Sing,True,6
237,אילי,אילה,Masc,Plur,True,207
238,אילי,אילה,Masc,Sing,True,4
239,אילים,אילה,Masc,Plur,True,54
240,אימ,אם,Fem,Sing,True,46
241,אימ,אם,Masc,Sing,True,268
242,אימה,אימה,Fem,Sing,False,7591
243,אימה,אימה,Masc,Sing,False,64
244,אימהות,אם,Fem,Plur,True,949
245,אימהות,אם,Fem,Sing,True,6
246,אימהותי,אימה,Fem,Plur,False,10
247,אימהותי,אימה,Masc,Plur,False,20
248,אימותי,אימה,Fem,Plur,False,14
249,אימותי,אימה,Masc,Plur,False,23
250,אימפרטיב,אימפרטיב,Masc,Sing,False,2
251,אימת,אימה,Fem,Sing,False,636
252,אימת,אימה,Masc,Sing,False,13
253,אין,אין,Fem,Sing,False,2
254,אין,אין,Masc,Sing,False,193
255,אינ,אין,Fem,Sing,False,6
256,אינ,אין,Masc,Sing,False,24
257,אינטרנט,אינטרנט,Masc,Sing,False,21268
258,אינסטינקט,אינסטינקט,Masc,Sing,False,228
259,אינסטינקטים,אינסטינקט,Masc,Plur,False,183
260,אינסטלטור,אינסטלטור,Masc,Sing,True,20
261,אינסטלטורים,אינסטלטור,Masc,Plur,True,2
262,אינסטלציה,אינסטלציה,Fem,Sing,False,94
263,אינפורמציה,אינפורמציה,Fem,Sing,False,961
264,איש,איש,Masc,Sing,True,47326
265,אישה,איש,Fem,Sing,True,27532
266,אישה,איש,Masc,Sing,True,2
267,אישיות,אישיות,Fem,Plur,True,118
268,אישיות,אישיות,Fem,Sing,True,6924
269,אישת,איש,Fem,Sing,True,13
270,אכזבה,אכזבה,Fem,Sing,False,1073
271,אכזבות,אכזבה,Fem,Plur,False,146
272,אכזבותי,אכזבה,Fem,Plur,False,3
273,אכזבותי,אכזבה,Masc,Plur,False,4
274,אכזבת,אכזבה,Fem,Sing,False,447
275,אכילה,אכילה,Fem,Sing,False,3650
276,אכילת,אכילה,Fem,Sing,False,3134
277,אכיפה,אכיפה,Fem,Sing,False,1873
278,אכיפת,אכיפה,Fem,Sing,False,2791
279,אכל,אכל,Masc,Sing,False,4
280,אכלי,אכל,Fem,Plur,False,7
281,אכלי,אכל,Masc,Plur,False,47
282,אכסניה,אכסניה,Fem,Sing,False,930
283,אכסניות,אכסניה,Fem,Plur,False,379
284,אכסניית,אכסניה,Fem,Sing,False,334
285,אל,אל,Masc,Sing,True,9649
286,אלה,אל,Masc,Plur,True,106
287,אלה,אל,Masc,Sing,True,2
288,אלה,אלה,Masc,Sing,True,23
289,אלהי,אלה,Masc,Plur,True,19
290,אלהי,אלה,Masc,Sing,True,12
291,אלהים,אלה,Masc,Plur,True,21
292,אלהים,אלה,Masc,Sing,True,2
293,אלהים,אלהים,Masc,Sing,True,371
294,אלול,אלול,Masc,Sing,False,6
295,אלולים,אלול,Masc,Plur,False,3
296,אלון,אלון,Masc,Sing,False,2629
297,אלוני,אלון,Masc,Plur,False,104
298,אלונים,אלון,Masc,Plur,False,385
299,אלוף,אלוף,Masc,Sing,True,17362
300,אלופ,אלוף,Masc,Sing,True,14
301,אלופי,אלוף,Masc,Plur,True,3008
302,אלופים,אלוף,Masc,Plur,True,2898
303,אלות,אלה,Fem,Plur,True,867
304,אלות,אלה,Masc,Plur,True,21
305,אלותי,אלה,Fem,Plur,True,10
306,אלותי,אלה,Masc,Plur,True,86
307,אלותי,אלה,Masc,Sing,True,4
308,אלטרנטיבה,אלטרנטיבה,Fem,Sing,False,1011
309,אלי,אל,Masc,Plur,True,2
310,אלי,אל,Masc,Sing,True,43
311,אליות,אל,Fem,Plur,True,12
312,אלימויות,אלימות,Fem,Plur,False,2
313,אלימות,אלימות,Fem,Plur,False,36
314,אלימות,אלימות,Fem,Sing,False,13020
315,אללה,אלה,Masc,Sing,True,2
316,אלמן,אלמן,Masc,Sing,True,353
317,אלמנ,אלמן,Masc,Sing,True,2
318,אלמנה,אלמנה,Fem,Sing,True,1610
319,אלמני,אלמן,Masc,Plur,True,2
320,אלמנת,אלמנה,Fem,Sing,True,1830
321,אלף,אלף,Fem,Sing,False,7
322,אלף,אלף,Masc,Sing,False,195
323,אלפ,אלף,Masc,Sing,False,61
324,אלפיות,אלף,Fem,Plur,False,108
325,אלפיות,אלף,Fem,Sing,False,24
326,אלפים,אלף,Masc,Plur,False,23
327,אלתור,אלתור,Masc,Sing,False,722
328,אלתורים,אלתור,Masc,Plur,False,216
329,אם,אם,Fem,Sing,True,14133
330,אם,אם,Masc,Plur,True,2
331,אם,אם,Masc,Sing,True,48
332,אמ,אם,Fem,Sing,True,11206
333,אמ,אמא,Masc,Sing,True,7
334,אמא,אמא,Fem,Sing,True,3073
335,אמבטיה,אמבטיה,Fem,Sing,False,655
336,אמביציה,אמביציה,Fem,Sing,False,65
337,אמברגו,אמברגו,Masc,Sing,False,501
338,אמהות,אם,Fem,Plur,True,1636
339,אמהות,אם,Fem,Sing,True,2
340,אמהות,אמהות,Fem,Sing,False,11
341,אמון,אמון,Masc,Sing,False,5311
342,אמונ,אמון,Masc,Sing,False,550
343,אמוני,אמון,Masc,Plur,False,23
344,אמוני,אמון,Masc,Sing,False,6
345,אמונים,אמון,Masc,Plur,False,2296
346,אמור,אמור,Masc,Sing,False,732
347,אמורה,אמור,Fem,Sing,False,2
348,אמוריים,אמור,Masc,Plur,False,5
349,אמורים,אמור,Masc,Plur,False,7
350,אמים,אם,Masc,Plur,True,3
351,אמינות,אמינות,Fem,Sing,False,2183
352,אמיר,אמיר,Masc,Sing,True,757
353,אמירה,אמירה,Fem,Sing,False,1877
354,אמירותי,אמירה,Fem,Plur,False,83
355,אמירותי,אמירה,Masc,Plur,False,18
356,אמירי,אמיר,Masc,Plur,True,29
357,אמירים,אמיר,Masc,Plur,True,207
358,אמירת,אמירה,Fem,Sing,False,2113
359,אמירתיים,אמירה,Masc,Plur,False,6
360,אמירתים,אמירה,Masc,Plur,False,11
361,אמן,אמן,Masc,Sing,True,15371
362,אמנ,אמן,Fem,Sing,True,2
363,אמנ,אמן,Masc,Sing,True,12
364,אמנה,אמנה,Fem,Sing,False,6313
365,אמנה,אמנה,Masc,Sing,False,2
366,אמני,אמן,Masc,Plur,True,4679
367,אמניות,אמן,Fem,Plur,True,1172
368,אמניי,אמן,Masc,Plur,True,2
369,אמנים,אמן,Masc,Plur,True,20799
370,אמנת,אמנה,Fem,Sing,False,2820
371,אמץ,אמץ,Masc,Sing,False,893
372,אמצ,אמץ,Masc,Sing,False,35
